"Customer Group","Customer Group"
"Account Created","Account Created"
"Orders Total","Orders Total"
"Additional Discount (%)","Additional Discount (%)"
"Additional Surcharge (%)","Additional Surcharge (%)"
Cost,Cost
"Customer Note:","Customer Note:"
"Administrator Note:","Administrator Note:"
"Add Note","Add Note"
Applied,Applied
surcharge,surcharge
discount,discount
"records found","records found"
selected,selected
"per page","per page"
"Previous page","Previous page"
"of %1","of %1"
"Next page","Next page"
Customer,Customer
"Notification Not Applicable","Notification Not Applicable"
Notified,Notified
"Not Notified","Not Notified"
"Notes for this Quote","Notes for this Quote"
"Comment added","Comment added"
"Remarks for this Quote","Remarks for this Quote"
"Total Due","Total Due"
"Total Paid","Total Paid"
"Total Refunded","Total Refunded"
"Total Tax","Total Tax"
"Gift Message for the Entire Order","Gift Message for the Entire Order"
"From Name","From Name"
"To Name","To Name"
"Order Id","Order Id"
"Applied discount","Applied discount"
"Applied surcharge","Applied surcharge"
Delete,Delete
"Сustomer Remarks:","Сustomer Remarks:"
"Administrator Remarks:","Administrator Remarks:"
"Quote #","Quote #"
Date,Date
Actions,Actions
"Move to Cart","Move to Cart"
"You have placed no quotes.","You have placed no quotes."
"Product Name","Product Name"
"Original Price","Original Price"
"Requested Price","Requested Price"
"Approved Price","Approved Price"
"Discount Amount","Discount Amount"
"Items Ordered","Items Ordered"
"Order ID","Order ID"
"# %1","# %1"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Checkout","Move to Checkout"
"<span>Creation Date:</span> %1","<span>Creation Date:</span> %1"
"Shopping Cart Items","Shopping Cart Items"
Item,Item
"Continue Shopping","Continue Shopping"
"Clear Quote","Clear Quote"
"Update Quote","Update Quote"
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
"You have no items in your quote cart.","You have no items in your quote cart."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Request a Quote","Request a Quote"
"My Quote","My Quote"
"Customer Email","Customer Email"
"There are no quote requests.","There are no quote requests."
Items,Items
"Print receipt","Print receipt"
"Thank you for your interest!","Thank you for your interest!"
"Your Quote Request # is: %1.","Your Quote Request # is: %1."
"Your Quote Request # is: <span>%1</span>.","Your Quote Request # is: <span>%1</span>."
"We'll email you a Quote Request confirmation email with a link to track progress.","We'll email you a Quote Request confirmation email with a link to track progress."
"Email alert for new quote requests","Email alert for new quote requests"
"Hello,","Hello,"
"This is an automatic notification about a new quote request(s) made. ","This is an automatic notification about a new quote request(s) made. "
Quotes:,Quotes:
"Thank you!","Thank you!"
"Email alert for approved quote requests","Email alert for approved quote requests"
"Hello %name,","Hello %name,"
"Your quote request from %store_name has been approved. You can check the status of your quote request and proceed to checkout by ","Your quote request from %store_name has been approved. You can check the status of your quote request and proceed to checkout by "
"logging into your account","logging into your account"
"The Quote Proposal will expire on %expiredDate","The Quote Proposal will expire on %expiredDate"
"Email alert for canceled quote requests","Email alert for canceled quote requests"
"Your quote request from %store_name has been canceled.  You can check the status of your quote request by ","Your quote request from %store_name has been canceled.  You can check the status of your quote request by "
"Unfortunately your quote has been declined. ","Unfortunately your quote has been declined. "
"Email alert for modified quote requests","Email alert for modified quote requests"
"Your quote request from %store_name has been modified.  You can check the status of your quote request by  ","Your quote request from %store_name has been modified.  You can check the status of your quote request by  "
"Email alert for expired quote requests","Email alert for expired quote requests"
"Your quote request from %store_name has been expired. You can check the status of your quote request by ","Your quote request from %store_name has been expired. You can check the status of your quote request by "
"Quote request for %store_name has been created. You can check the status of your quote request and proceed to checkout by ","Quote request for %store_name has been created. You can check the status of your quote request and proceed to checkout by "
"Your quote request from %store_name=$store.getFrontendName() has been modified.  You can check the status of your quote request by  ","Your quote request from %store_name=$store.getFrontendName() has been modified.  You can check the status of your quote request by  "
"Email alert for promotion quote requests","Email alert for promotion quote requests"
"Special promotion. ","Special promotion. "
Click,Click
here,here
"to view","to view"
"Email alert for reminder quote requests","Email alert for reminder quote requests"
"Hello %customer_name,","Hello %customer_name,"
"Proposal is about to expire. Please review the price proposal and move","Proposal is about to expire. Please review the price proposal and move"
"your quote","your quote"
"to the cart to finalize the purchase!","to the cart to finalize the purchase!"
"Email alert for submitted quote request","Email alert for submitted quote request"
"Thank you for your quote request from %store_name.","Thank you for your quote request from %store_name."
"You can check the status of your quote request by <a href=""%view_url"">logging into your account</a>.","You can check the status of your quote request by <a href=""%view_url"">logging into your account</a>."
"Your Quote Request <span class=""no-link"">#%increment_id</span>","Your Quote Request <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
"Email Address","Email Address"
Password,Password
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
Login,Login
"Forgot Your Password?","Forgot Your Password?"
"Cart Subtotal","Cart Subtotal"
"Edit Order","Edit Order"
Ok,Ok
"Add Products","Add Products"
"You have item changes","You have item changes"
Adding...,Adding...
"Are you sure you would like to remove this item from the quote cart?","Are you sure you would like to remove this item from the quote cart?"
Operations,Operations
"Amasty Quotes","Amasty Quotes"
Create,Create
Cancel/Close,Cancel/Close
Order,Order
"Create from Magento Quote","Create from Magento Quote"
"Create Quote from Order","Create Quote from Order"
"Amasty Request a Quote","Amasty Request a Quote"
General,General
"Enable 'Request a Quote'","Enable 'Request a Quote'"
"'Add to Quote' button on Product Page","'Add to Quote' button on Product Page"
"'Add to Quote' button on Category Page","'Add to Quote' button on Category Page"
"Disable Quotation for Categories","Disable Quotation for Categories"
"'Add to Quote' button will be hidden for each product from the selected categories. This setting is applied to product list and product page.","'Add to Quote' button will be hidden for each product from the selected categories. This setting is applied to product list and product page."
"Allow Quote Request for Customer Groups","Allow Quote Request for Customer Groups"
"If 'Not Logged In' option is chosen, guest users will insert email addresses upon quote submission and accounts will be created automatically.","If 'Not Logged In' option is chosen, guest users will insert email addresses upon quote submission and accounts will be created automatically."
"Inform Guests","Inform Guests"
"Show 'Login for quote' button for guests","Show 'Login for quote' button for guests"
"Button Text","Button Text"
"Approve Quotes Automatically","Approve Quotes Automatically"
"Set 'Yes' to approve quote automatically if the overall discount is less than certain % amount","Set 'Yes' to approve quote automatically if the overall discount is less than certain % amount"
"if Quote Discount is Less than (%)","if Quote Discount is Less than (%)"
"The discount is calculated for the entire quote (not for separate products). Note: discount calculation is based on prices excluding tax.","The discount is calculated for the entire quote (not for separate products). Note: discount calculation is based on prices excluding tax."
"Cost Attribute","Cost Attribute"
"Expiration & Reminder","Expiration & Reminder"
"Quote Expiration","Quote Expiration"
"Set default period in days for quote to be valid once approved. For zero and higher this value can be set for each quote individually. Keep empty to disable this feature.","Set default period in days for quote to be valid once approved. For zero and higher this value can be set for each quote individually. Keep empty to disable this feature."
"Send Reminder Email after Day(s)","Send Reminder Email after Day(s)"
"Set default period in days to send reminder once quote approved. For zero and higher this value can be set for each quote individually. Keep empty to disable reminder.","Set default period in days to send reminder once quote approved. For zero and higher this value can be set for each quote individually. Keep empty to disable reminder."
"Admin Notifications","Admin Notifications"
"Send Email Reports for New Quote Requests","Send Email Reports for New Quote Requests"
Frequency,Frequency
"Start Time","Start Time"
"Admin Email Address","Admin Email Address"
"Input an email address, the extension will send notifications to.","Input an email address, the extension will send notifications to."
"Email Template to Notify Admin","Email Template to Notify Admin"
"Select the appropriate template for the email notifications.","Select the appropriate template for the email notifications."
"Email Sender","Email Sender"
"Customer Notifications","Customer Notifications"
"Email Template for Submitted Quote","Email Template for Submitted Quote"
"Email Template for Approved Quote","Email Template for Approved Quote"
"Email Template for Modified Quote","Email Template for Modified Quote"
"Email Template for Canceled Quote","Email Template for Canceled Quote"
"Email Template for Expired Quote","Email Template for Expired Quote"
"Email Template for Reminder","Email Template for Reminder"
Name,Name
Phone,Phone
"ZIP/Post Code","ZIP/Post Code"
Country,Country
State/Province,State/Province
"Signed-up Point","Signed-up Point"
Website,Website
"Product Price","Product Price"
"Quote Price","Quote Price"
"Row Total","Row Total"
"Create New Quote","Create New Quote"
"All Store Views","All Store Views"
"Purchase Point","Purchase Point"
"Purchase Date","Purchase Date"
"Grand Total (Base)","Grand Total (Base)"
"Quote Summary","Quote Summary"
FPT,FPT
"Quote Total Excl. Tax","Quote Total Excl. Tax"
"Quote Total Incl. Tax","Quote Total Incl. Tax"
"Enter your details","Enter your details"
"First Name","First Name"
"Last Name","Last Name"
"We'll send notifications about the quote to the inserted email address.
                                                                        Please kindly note that new account will be created automatically after quote submission.","We'll send notifications about the quote to the inserted email address.
                                                                        Please kindly note that new account will be created automatically after quote submission."
"Your quote request has been received!","Your quote request has been received!"
